iter	RMSE
0	17.03004087
1	16.85056758
2	16.6329533
3	16.44141856
4	16.26675481
5	16.0721934
6	15.88168405
7	15.7202921
8	15.55903746
9	15.3901185
10	15.21847004
11	15.09060023
12	14.93525203
13	14.79370731
14	14.64260336
15	14.50359253
16	14.37372046
17	14.24087528
18	14.10079175
19	13.9983907
20	13.89590493
21	13.78035922
22	13.67595625
23	13.57508971
24	13.48268259
25	13.38771768
26	13.27385938
27	13.16089015
28	13.08121762
29	12.97473852
30	12.87327844
31	12.7708485
32	12.67781115
33	12.58596595
34	12.4885234
35	12.39998621
36	12.33445576
37	12.25402281
38	12.18295252
39	12.1245793
40	12.06220524
41	11.98462881
42	11.90611277
43	11.84304428
44	11.7802161
45	11.72693567
46	11.67022778
47	11.58928478
48	11.53117801
49	11.46421243
50	11.4135361
51	11.3545643
52	11.30188097
53	11.23451121
54	11.18783543
55	11.13941526
56	11.09324765
57	11.03904848
58	10.99256577
59	10.94543698
60	10.88720248
61	10.83830027
62	10.79513554
63	10.73312606
64	10.67935085
65	10.62504217
66	10.57590273
67	10.53349342
68	10.48645754
69	10.44482886
70	10.39666085
71	10.35700937
72	10.32191813
73	10.29143232
74	10.24956676
75	10.21228975
76	10.16226395
77	10.12267253
78	10.08212382
79	10.04946958
80	10.01572
81	9.985418061
82	9.94280973
83	9.914939469
84	9.871242481
85	9.847212928
86	9.821400802
87	9.793618211
88	9.763101271
89	9.733059775
90	9.712572602
91	9.683702907
92	9.666037766
93	9.638704953
94	9.611881431
95	9.579096856
96	9.533595888
97	9.497529742
98	9.467702433
99	9.445775482
100	9.429716933
101	9.402092995
102	9.376803556
103	9.344590832
104	9.334481573
105	9.301179924
106	9.274602208
107	9.260344872
108	9.225289792
109	9.19933274
110	9.17615006
111	9.147275152
112	9.116346157
113	9.104102049
114	9.077607693
115	9.044329554
116	9.017428119
117	8.995697626
118	8.977505349
119	8.953250063
120	8.935112005
121	8.911816152
122	8.893882492
123	8.86671322
124	8.846080175
125	8.825053774
126	8.811834999
127	8.792878159
128	8.762746705
129	8.740271495
130	8.70919304
131	8.690032779
132	8.675786488
133	8.661697487
134	8.635981673
135	8.611913224
136	8.596336071
137	8.574122278
138	8.556324758
139	8.532771694
140	8.511814917
141	8.493030581
142	8.4731083
143	8.453197827
144	8.430264458
145	8.415149069
146	8.385720874
147	8.36638184
148	8.334613449
149	8.314876697
150	8.294820552
151	8.275933839
152	8.268700159
153	8.255333279
154	8.241775523
155	8.225952165
156	8.207172235
157	8.187561661
158	8.17015356
159	8.140736116
160	8.124830625
161	8.10851644
162	8.093953098
163	8.083124164
164	8.06188643
165	8.042824302
166	8.017767737
167	7.995319767
168	7.968553908
169	7.953736727
170	7.942954227
171	7.929503493
172	7.920149376
173	7.904951095
174	7.898920939
175	7.889856699
176	7.86984017
177	7.846585041
178	7.823206898
179	7.808824827
180	7.801718055
181	7.798693748
182	7.775595741
183	7.758383971
184	7.739434051
185	7.722705775
186	7.696096331
187	7.689287883
188	7.685097581
189	7.661633293
190	7.643940342
191	7.620299078
192	7.6060733
193	7.601683384
194	7.583664932
195	7.56913714
196	7.561957441
197	7.548061691
198	7.534688344
199	7.518545762
200	7.502975384
201	7.497490846
202	7.485451761
203	7.472190857
204	7.453377287
205	7.432769252
206	7.415765003
207	7.401720222
208	7.39456943
209	7.373005503
210	7.359182826
211	7.335725142
212	7.316122958
213	7.303125002
214	7.291393739
215	7.283541265
216	7.271291044
217	7.24651621
218	7.24016082
219	7.208606596
220	7.185083043
221	7.17313458
222	7.148614499
223	7.13123865
224	7.115781388
225	7.096856499
226	7.079472175
227	7.051708606
228	7.021026021
229	7.000273949
230	6.979746997
231	6.962432541
232	6.943312974
233	6.922775641
234	6.915571121
235	6.909869714
236	6.904715358
237	6.880334099
238	6.875045161
239	6.869436036
240	6.853419179
241	6.833637097
242	6.814961213
243	6.800170456
244	6.78822785
