iter	Passed	Remaining
0	47	47360
1	80	40275
2	114	38073
3	147	36830
4	181	36195
5	216	35941
6	252	35829
7	286	35520
8	320	35284
9	354	35129
10	389	35013
11	423	34903
12	459	34924
13	495	34865
14	529	34797
15	563	34679
16	598	34591
17	633	34572
18	670	34604
19	704	34517
20	739	34460
21	773	34378
22	808	34330
23	842	34269
24	877	34209
25	913	34236
26	948	34172
27	983	34140
28	1017	34076
29	1053	34048
30	1087	34005
31	1123	33970
32	1160	33992
33	1195	33959
34	1229	33899
35	1264	33866
36	1299	33828
37	1334	33793
38	1370	33776
39	1404	33718
40	1439	33671
41	1473	33614
42	1507	33558
43	1542	33505
44	1577	33486
45	1612	33449
46	1648	33425
47	1682	33366
48	1716	33322
49	1751	33272
50	1787	33253
51	1822	33226
52	1857	33187
53	1891	33140
54	1931	33178
55	1965	33138
56	2000	33096
57	2038	33102
58	2075	33101
59	2112	33102
60	2151	33122
61	2189	33120
62	2226	33113
63	2265	33125
64	2301	33103
65	2337	33082
66	2373	33045
67	2408	33008
68	2445	33001
69	2482	32986
70	2518	32957
71	2555	32936
72	2592	32921
73	2627	32877
74	2665	32871
75	2703	32870
76	2740	32851
77	2778	32840
78	2814	32807
79	2850	32779
80	2886	32753
81	2936	32872
82	2972	32839
83	3007	32791
84	3043	32757
85	3078	32715
86	3114	32688
87	3151	32660
88	3189	32642
89	3224	32601
90	3260	32566
91	3297	32547
92	3334	32517
93	3372	32500
94	3408	32473
95	3445	32446
96	3482	32419
97	3520	32404
98	3556	32371
99	3595	32362
100	3631	32325
101	3667	32287
102	3704	32262
103	3740	32228
104	3777	32201
105	3815	32181
106	3852	32149
107	3888	32116
108	3925	32090
109	3962	32058
110	4000	32037
111	4036	32003
112	4072	31970
113	4108	31932
114	4144	31891
115	4180	31856
116	4216	31824
117	4253	31793
118	4289	31754
119	4325	31718
120	4360	31679
121	4396	31643
122	4435	31622
123	4471	31592
124	4508	31561
125	4545	31529
126	4582	31499
127	4618	31465
128	4655	31431
129	4693	31407
130	4729	31376
131	4767	31347
132	4803	31314
133	4839	31276
134	4877	31250
135	4915	31224
136	4952	31198
137	4989	31163
138	5025	31130
139	5062	31099
140	5097	31057
141	5134	31024
142	5171	30994
143	5207	30952
144	5242	30911
145	5278	30877
146	5316	30853
147	5366	30892
148	5403	30863
149	5441	30832
150	5477	30795
151	5512	30753
152	5551	30733
153	5591	30714
154	5627	30680
155	5665	30652
156	5701	30616
157	5740	30594
158	5779	30567
159	5814	30527
160	5850	30487
161	5885	30446
162	5922	30409
163	5959	30381
164	5995	30338
165	6033	30314
166	6069	30275
167	6106	30243
