Target location,Year,Crop,Predicted yield (BUacre)
ACAvNTuEuFWcmwms,2006,Oats,17.801753997802734
ACAvNTuEuFWcmwms,2007,Oats,62.71925354003906
ACAvNTuEuFWcmwms,2008,Oats,28.59202003479004
ACAvNTuEuFWcmwms,2009,Oats,15.748921394348145
ACAvNTuEuFWcmwms,2010,Oats,44.189453125
ACAvNTuEuFWcmwms,2011,Oats,19.836502075195312
ACAvNTuEuFWcmwms,2012,Oats,27.746536254882812
ACAvNTuEuFWcmwms,2013,Oats,16.636747360229492
ACAvNTuEuFWcmwms,2014,Oats,33.951568603515625
ACAvNTuEuFWcmwms,2015,Oats,60.53352355957031
ACAvNTuEuFWcmwms,2016,Oats,45.916114807128906
ACAvNTuEuFWcmwms,2017,Oats,52.719993591308594
ACAvNTuEuFWcmwms,2018,Oats,28.550344467163086
ACAvNTuEuFWcmwms,2019,Oats,22.4585018157959
ACAvNTuEuFWcmwms,2020,Oats,24.140230178833008
ACAvNTuEuFWcmwms,2021,Oats,3.0092742443084717
ACAvNTuEuFWcmwms,2022,Oats,40.51239013671875
aCyjhOAKburculfr,1973,Oats,38.77593994140625
aCyjhOAKburculfr,1974,Oats,51.01470947265625
aCyjhOAKburculfr,1975,Oats,42.439796447753906
aCyjhOAKburculfr,1976,Oats,40.210670471191406
aCyjhOAKburculfr,1977,Oats,49.253807067871094
aCyjhOAKburculfr,1978,Oats,42.491004943847656
aCyjhOAKburculfr,1979,Oats,51.361366271972656
aCyjhOAKburculfr,1980,Oats,55.17857360839844
aCyjhOAKburculfr,1981,Oats,53.565093994140625
aCyjhOAKburculfr,1982,Oats,51.62242889404297
aCyjhOAKburculfr,1983,Oats,48.601043701171875
aCyjhOAKburculfr,1984,Oats,37.883644104003906
aCyjhOAKburculfr,1985,Oats,56.1114501953125
aCyjhOAKburculfr,1986,Oats,41.73877716064453
aCyjhOAKburculfr,1987,Oats,23.181245803833008
aCyjhOAKburculfr,1988,Oats,44.85099792480469
aCyjhOAKburculfr,1989,Oats,34.49479675292969
aCyjhOAKburculfr,1990,Oats,38.058876037597656
aCyjhOAKburculfr,1991,Oats,47.273521423339844
aCyjhOAKburculfr,1992,Oats,58.69135284423828
aCyjhOAKburculfr,1993,Oats,35.397193908691406
aCyjhOAKburculfr,1994,Oats,38.00407409667969
aCyjhOAKburculfr,1995,Oats,41.9345703125
aCyjhOAKburculfr,1996,Oats,36.88457489013672
aCyjhOAKburculfr,1997,Oats,34.59569549560547
aCyjhOAKburculfr,1998,Oats,49.25175476074219
aCyjhOAKburculfr,1999,Oats,57.326316833496094
aCyjhOAKburculfr,2000,Oats,41.17372131347656
aCyjhOAKburculfr,2001,Oats,22.092060089111328
aCyjhOAKburculfr,2002,Oats,24.98123550415039
aCyjhOAKburculfr,2003,Oats,61.04200744628906
aCyjhOAKburculfr,2004,Oats,50.644927978515625
aCyjhOAKburculfr,2005,Oats,34.470481872558594
aCyjhOAKburculfr,2006,Oats,55.92125701904297
aCyjhOAKburculfr,2007,Oats,62.24256134033203
aCyjhOAKburculfr,2008,Oats,31.97519302368164
aCyjhOAKburculfr,2009,Oats,33.92401123046875
aCyjhOAKburculfr,2010,Oats,59.32171630859375
aCyjhOAKburculfr,2011,Oats,57.58209228515625
aCyjhOAKburculfr,2012,Oats,49.891204833984375
aCyjhOAKburculfr,2013,Oats,30.06294822692871
aCyjhOAKburculfr,2014,Oats,43.66877746582031
aCyjhOAKburculfr,2015,Oats,64.9273681640625
aCyjhOAKburculfr,2016,Oats,63.86748504638672
aCyjhOAKburculfr,2017,Oats,58.23899841308594
aCyjhOAKburculfr,2018,Oats,41.851043701171875
aCyjhOAKburculfr,2019,Oats,42.45848846435547
aCyjhOAKburculfr,2020,Oats,27.42131233215332
aCyjhOAKburculfr,2021,Oats,38.51451110839844
aCyjhOAKburculfr,2022,Oats,50.06049346923828
aguYhpcOJECNEkLI,2006,Oats,17.549823760986328
aguYhpcOJECNEkLI,2007,Oats,33.022247314453125
aguYhpcOJECNEkLI,2008,Oats,18.157331466674805
aguYhpcOJECNEkLI,2009,Oats,57.741546630859375
aguYhpcOJECNEkLI,2010,Oats,48.72746276855469
aguYhpcOJECNEkLI,2011,Oats,41.183380126953125
aguYhpcOJECNEkLI,2012,Oats,38.960105895996094
aguYhpcOJECNEkLI,2013,Oats,9.961345672607422
aguYhpcOJECNEkLI,2014,Oats,39.223976135253906
aguYhpcOJECNEkLI,2015,Oats,42.656639099121094
aguYhpcOJECNEkLI,2016,Oats,59.89423370361328
aguYhpcOJECNEkLI,2017,Oats,31.888233184814453
aguYhpcOJECNEkLI,2018,Oats,41.964744567871094
aguYhpcOJECNEkLI,2019,Oats,27.60677146911621
aguYhpcOJECNEkLI,2020,Oats,52.26055908203125
aguYhpcOJECNEkLI,2021,Oats,45.755043029785156
aguYhpcOJECNEkLI,2022,Oats,43.447349548339844
alTjbdTsAKACZrGW,1986,Oats,55.609580993652344
alTjbdTsAKACZrGW,1987,Oats,27.01021957397461
alTjbdTsAKACZrGW,1988,Oats,32.02336883544922
alTjbdTsAKACZrGW,1989,Oats,40.129302978515625
alTjbdTsAKACZrGW,1990,Oats,22.58135414123535
alTjbdTsAKACZrGW,1991,Oats,19.8751220703125
alTjbdTsAKACZrGW,1992,Oats,62.473663330078125
alTjbdTsAKACZrGW,1993,Oats,17.662376403808594
alTjbdTsAKACZrGW,1994,Oats,36.87800598144531
alTjbdTsAKACZrGW,1995,Oats,34.00567626953125
alTjbdTsAKACZrGW,1996,Oats,38.85594940185547
alTjbdTsAKACZrGW,1997,Oats,41.520912170410156
alTjbdTsAKACZrGW,1998,Oats,41.520912170410156
alTjbdTsAKACZrGW,1999,Oats,41.520912170410156
alTjbdTsAKACZrGW,2000,Oats,41.520912170410156
alTjbdTsAKACZrGW,2001,Oats,41.520912170410156
alTjbdTsAKACZrGW,2002,Oats,41.520912170410156
alTjbdTsAKACZrGW,2003,Oats,41.520912170410156
alTjbdTsAKACZrGW,2004,Oats,41.520912170410156
alTjbdTsAKACZrGW,2005,Oats,41.520912170410156
alTjbdTsAKACZrGW,2006,Oats,41.520912170410156
alTjbdTsAKACZrGW,2007,Oats,41.520912170410156
alTjbdTsAKACZrGW,2008,Oats,41.520912170410156
alTjbdTsAKACZrGW,2009,Oats,41.520912170410156
alTjbdTsAKACZrGW,2010,Oats,41.520912170410156
alTjbdTsAKACZrGW,2011,Oats,41.520912170410156
alTjbdTsAKACZrGW,2012,Oats,41.520912170410156
alTjbdTsAKACZrGW,2013,Oats,41.520912170410156
alTjbdTsAKACZrGW,2014,Oats,41.520912170410156
alTjbdTsAKACZrGW,2015,Oats,41.520912170410156
alTjbdTsAKACZrGW,2016,Oats,41.520912170410156
alTjbdTsAKACZrGW,2017,Oats,41.520912170410156
alTjbdTsAKACZrGW,2018,Oats,41.520912170410156
alTjbdTsAKACZrGW,2019,Oats,41.520912170410156
alTjbdTsAKACZrGW,2020,Oats,41.520912170410156
alTjbdTsAKACZrGW,2021,Oats,41.520912170410156
alTjbdTsAKACZrGW,2022,Oats,36.38373565673828
AmezwjsXKaggSICV,2011,Oats,33.315185546875
AmezwjsXKaggSICV,2012,Oats,42.06752014160156
AmezwjsXKaggSICV,2013,Oats,11.501202583312988
AmezwjsXKaggSICV,2014,Oats,19.561315536499023
AmezwjsXKaggSICV,2015,Oats,60.405799865722656
AmezwjsXKaggSICV,2016,Oats,51.87443542480469
AmezwjsXKaggSICV,2017,Oats,30.600648880004883
AmezwjsXKaggSICV,2018,Oats,39.98890686035156
AmezwjsXKaggSICV,2019,Oats,15.565911293029785
AmezwjsXKaggSICV,2020,Oats,48.57295227050781
AmezwjsXKaggSICV,2021,Oats,20.340255737304688
AmezwjsXKaggSICV,2022,Oats,34.672996520996094
aNBbBQsLuzazxQDL,2022,Oats,36.764373779296875
asHxfMpWqfgGesmE,2006,Oats,52.74000549316406
asHxfMpWqfgGesmE,2007,Oats,26.94915771484375
asHxfMpWqfgGesmE,2008,Oats,34.528228759765625
asHxfMpWqfgGesmE,2009,Oats,30.02756690979004
asHxfMpWqfgGesmE,2010,Oats,46.577232360839844
asHxfMpWqfgGesmE,2011,Oats,20.765811920166016
asHxfMpWqfgGesmE,2012,Oats,29.999032974243164
asHxfMpWqfgGesmE,2013,Oats,20.11321449279785
asHxfMpWqfgGesmE,2014,Oats,42.88610076904297
asHxfMpWqfgGesmE,2015,Oats,61.074378967285156
asHxfMpWqfgGesmE,2016,Oats,64.43914794921875
asHxfMpWqfgGesmE,2017,Oats,56.01268005371094
asHxfMpWqfgGesmE,2018,Oats,18.59144401550293
asHxfMpWqfgGesmE,2019,Oats,28.752952575683594
asHxfMpWqfgGesmE,2020,Oats,26.328088760375977
asHxfMpWqfgGesmE,2021,Oats,31.258848190307617
asHxfMpWqfgGesmE,2022,Oats,49.62812042236328
AvjrUfvxwfPdFfLD,2022,Oats,36.276763916015625
AWUpGSoLMOQdgmLf,2006,Oats,17.853212356567383
AWUpGSoLMOQdgmLf,2007,Oats,26.43297004699707
AWUpGSoLMOQdgmLf,2008,Oats,20.54692840576172
AWUpGSoLMOQdgmLf,2009,Oats,53.10768127441406
