county,avg_temp
Aitkin County,6.351616571871516
Anoka County,8.58580115842085
Becker County,7.026682198639255
Beltrami County,4.844702590932039
Benton County,6.782189345719838
Big Stone County,8.443647714557564
Blue Earth County,9.00005882476889
Brown County,9.16481810481183
Carlton County,6.26318841176587
Carver County,9.274036322019846
Cass County,6.314584054913696
Chippewa County,8.859339289802456
Chisago County,8.252982080476064
Clay County,6.993737856286893
Clearwater County,4.908432081989543
Cook County,4.713011053546042
Cottonwood County,9.163565508892686
Crow Wing County,6.968752549309464
Dakota County,8.839910687906825
Dodge County,8.547889426081591
Douglas County,7.469762263737534
Faribault County,9.207495076114908
Fillmore County,8.566539552763219
Freeborn County,9.350217909078872
Goodhue County,9.371839558648977
Grant County,7.907142151040042
Hennepin County,9.761078467176333
Houston County,9.264220142238548
Hubbard County,6.726670689542604
Isanti County,8.240804933755308
Itasca County,5.537465214809903
Jackson County,8.996875602946544
Kanabec County,7.279130678845618
Kandiyohi County,8.254935258295532
Kittson County,5.848967210067166
Koochiching County,4.741886691637337
Lac qui Parle County,8.925442486977959
Lake County,5.576992356672316
Lake of the Woods County,5.5114623222978
Le Sueur County,9.347755721336522
Lincoln County,9.18930139137621
Lyon County,7.40351406751599
Mahnomen County,6.439906667603394
Marshall County,6.05378682985296
Martin County,9.256346870541824
McLeod County,8.841548960585667
Meeker County,8.612800309883923
Mille Lacs County,6.828730807934025
Morrison County,7.468630111881675
Mower County,8.555058623719448
Murray County,9.135662225166623
Nicollet County,9.147513144632637
Nobles County,9.07874752951139
Norman County,6.895426310306254
Olmsted County,8.558702917384688
Otter Tail County,7.246053249025746
Pennington County,6.023566815620996
Pine County,7.279130678845618
Pipestone County,9.173169791456695
Polk County,6.05378682985296
Pope County,7.543461573044608
Ramsey County,7.819513790624609
Red Lake County,6.05378682985296
Redwood County,8.960349874310104
Renville County,8.673339008653283
Rice County,9.198114121669676
Rock County,9.027863237743139
Roseau County,5.586452425340363
Saint Louis County,3.475481542426762
Scott County,9.245577262000415
Sherburne County,6.95978613564437
Sibley County,9.06764142988505
Stearns County,6.876450202442784
Steele County,9.006312870702182
Stevens County,8.020787531991276
Swift County,8.137301533485598
Todd County,7.665210772049501
Traverse County,7.890781235343434
Wabasha County,8.577788910403166
Wadena County,6.63241216589654
Waseca County,9.12275797919402
Washington County,7.819513790624609
Watonwan County,9.15061325800121
Wilkin County,7.642305032321698
Winona County,9.264220142238548
Wright County,8.778151045077834
Yellow Medicine County,9.011532949589554
