,County Name,Station
0,Saint Louis County,72745
1,Saint Louis County,KDYT0
2,Scott County,KFCM0
3,Sherburne County,KPNM0
4,Sherburne County,KCFE0
5,Sherburne County,KMGG0
6,Sherburne County,9NRIJ
7,Sherburne County,KCBG0
8,Sherburne County,72655
9,Sibley County,KGYL0
10,Sibley County,KULM0
11,Stearns County,72655
12,Steele County,KOWA0
13,Stevens County,KMOX0
14,Swift County,KBBB0
15,Todd County,KRYM0
16,Todd County,KLXL0
17,Todd County,KD390
18,Todd County,KAXN0
19,Traverse County,KETH0
20,Wabasha County,KONA0
21,Wabasha County,KRGK0
22,Wadena County,KPKD0
23,Wadena County,KPWC0
24,Wadena County,KADC0
25,Wadena County,KSAZ0
26,Waseca County,KACQ0
27,Washington County,KSTP0
28,Watonwan County,KJYG0
29,Wilkin County,KFFM0
30,Winona County,KONA0
31,Wright County,KMGG0
32,Yellow Medicine County,KGDB0
33,Marshall County,KCKN0
34,Marshall County,UYB6K
35,Martin County,KFRM0
36,Meeker County,KLJF0
37,Mille Lacs County,KPNM0
38,Mille Lacs County,KCBG0
39,Morrison County,KLXL0
40,Mower County,KAUM0
41,Murray County,KTKC0
42,Murray County,KPQN0
43,Nicollet County,KMKT0
44,Nobles County,KOTG0
45,Norman County,KJKJ0
46,Norman County,KCKN0
47,Olmsted County,72644
48,Otter Tail County,KFFM0
49,Pennington County,UYB6K
50,Pine County,KROS0
51,Pine County,KJMR0
52,Pipestone County,KPQN0
53,Polk County,KCKN0
54,Pope County,KGHW0
55,Ramsey County,KSTP0
56,Red Lake County,KCKN0
57,Red Lake County,UYB6K
58,Redwood County,Z7ZOG
59,Renville County,KOVL0
60,Rice County,KFRM0
61,Rice County,KAEL0
62,Rock County,KLYV0
63,Roseau County,P6529
64,Aitkin County,KAIT0
65,Aitkin County,KHZX0
66,Anoka County,9NRIJ
67,Becker County,KDTL0
68,Becker County,KPKD0
69,Beltrami County,X9FED
70,Beltrami County,72755
71,Benton County,72655
72,Big Stone County,KVVV0
73,Blue Earth County,KMKT0
74,Brown County,KULM0
75,Carlton County,KCOQ0
76,Carlton County,KMZH0
77,Carver County,KFCM0
78,Carver County,KGYL0
79,Cass County,KY490
80,Cass County,KXVG0
81,Cass County,KPWC0
82,Cass County,KSAZ0
83,Chippewa County,KMVE0
84,Chippewa County,KBDH0
85,Chisago County,KROS0
86,Clay County,KJKJ0
87,Clay County,KDTL0
88,Clearwater County,KFSE0
89,Clearwater County,72755
90,Cook County,KGNA0
91,Cook County,KCKC0
92,Cottonwood County,KMWM0
93,Crow Wing County,KBRD0
94,Crow Wing County,KAIT0
95,Crow Wing County,KPWC0
96,Dakota County,KSYN0
97,Dakota County,KLVN0
98,Dodge County,KTOB0
99,Douglas County,KAXN0
100,Faribault County,KFRM0
101,Faribault County,KAEL0
102,Fillmore County,KFKA0
103,Freeborn County,KAEL0
104,Goodhue County,KSYN0
105,Grant County,KY630
106,Hennepin County,KMIC0
107,Hennepin County,KFCM0
108,Houston County,KONA0
109,Houston County,KFKA0
110,Hubbard County,KPKD0
111,Isanti County,KCBG0
112,Itasca County,KGPZ0
113,Jackson County,KMJQ0
114,Kanabec County,KJMR0
115,Kandiyohi County,KBDH0
116,Kittson County,KHCO0
117,Koochiching County,72747
118,Lac qui Parle County,KDXX0
119,Lake County,KTWM0
120,Lake County,KBFW0
121,Lake of the Woods County,KFGN0
122,Lake of the Woods County,KBDE0
123,Le Sueur County,KMKT0
124,Le Sueur County,KFBL0
125,Lincoln County,KCNB0
126,Lincoln County,KMML0
127,Lincoln County,KPQN0
128,Lyon County,KMML0
129,McLeod County,KGYL0
130,McLeod County,KHCD0
131,Mahnomen County,KFSE0
132,Mahnomen County,KDTL0
