new_index,County,BU / ACRE
1950-Aitkin County,AITKIN,7.0
1950-Anoka County,ANOKA,7.0
1950-Becker County,BECKER,9.0
1950-Benton County,BENTON,8.0
1950-Big Stone County,BIG STONE,13.0
1950-Blue Earth County,BLUE EARTH,21.0
1950-Brown County,BROWN,17.0
1950-Carver County,CARVER,14.0
1950-Chippewa County,CHIPPEWA,13.0
1950-Chisago County,CHISAGO,5.0
1950-Clay County,CLAY,11.0
1950-Cottonwood County,COTTONWOOD,17.0
1950-Crow Wing County,CROW WING,6.0
1950-Douglas County,DOUGLAS,13.0
1950-Faribault County,FARIBAULT,20.0
1950-Freeborn County,FREEBORN,17.0
1950-Grant County,GRANT,11.0
1950-Hennepin County,HENNEPIN,7.0
1950-Isanti County,ISANTI,6.0
1950-Jackson County,JACKSON,16.0
1950-Kanabec County,KANABEC,5.0
1950-Kandiyohi County,KANDIYOHI,11.0
1950-Kittson County,KITTSON,11.0
1950-Lac Qui Parle County,LAC QUI PARLE,11.0
1950-Le Sueur County,LE SUEUR,18.0
1950-Lincoln County,LINCOLN,12.0
1950-Lyon County,LYON,12.0
1950-Mahnomen County,MAHNOMEN,10.0
1950-Martin County,MARTIN,21.0
1950-Mcleod County,MCLEOD,15.0
1950-Meeker County,MEEKER,13.0
1950-Mille Lacs County,MILLE LACS,6.0
1950-Morrison County,MORRISON,5.0
1950-Murray County,MURRAY,16.0
1950-Nicollet County,NICOLLET,17.0
1950-Nobles County,NOBLES,16.0
1950-Norman County,NORMAN,10.0
1950-Otter Tail County,OTTER TAIL,9.0
1950-Pine County,PINE,6.0
1950-Pipestone County,PIPESTONE,9.0
1950-Polk County,POLK,8.0
1950-Pope County,POPE,8.0
1950-Ramsey County,RAMSEY,8.0
1950-Redwood County,REDWOOD,15.0
1950-Renville County,RENVILLE,15.0
1950-Rice County,RICE,18.0
1950-Rock County,ROCK,11.0
1950-Scott County,SCOTT,16.0
1950-Sherburne County,SHERBURNE,5.0
1950-Sibley County,SIBLEY,17.0
1950-Stearns County,STEARNS,8.0
1950-Steele County,STEELE,18.0
1950-Stevens County,STEVENS,13.0
1950-Swift County,SWIFT,11.0
1950-Todd County,TODD,8.0
1950-Traverse County,TRAVERSE,10.0
1950-Wadena County,WADENA,10.0
1950-Waseca County,WASECA,20.0
1950-Washington County,WASHINGTON,13.0
1950-Watonwan County,WATONWAN,19.0
1950-Wilkin County,WILKIN,9.0
1950-Wright County,WRIGHT,12.0
1950-Yellow Medicine County,YELLOW MEDICINE,14.0
1951-Anoka County,ANOKA,12.0
1951-Becker County,BECKER,8.0
1951-Benton County,BENTON,11.0
1951-Big Stone County,BIG STONE,13.0
1951-Blue Earth County,BLUE EARTH,22.0
1951-Brown County,BROWN,20.0
1951-Carver County,CARVER,18.0
1951-Chippewa County,CHIPPEWA,16.0
1951-Chisago County,CHISAGO,15.0
1951-Clay County,CLAY,13.0
1951-Cottonwood County,COTTONWOOD,16.0
1951-Douglas County,DOUGLAS,12.0
1951-Faribault County,FARIBAULT,20.0
1951-Freeborn County,FREEBORN,18.0
1951-Grant County,GRANT,13.0
1951-Hennepin County,HENNEPIN,18.0
1951-Isanti County,ISANTI,12.0
1951-Jackson County,JACKSON,16.0
1951-Kanabec County,KANABEC,10.0
1951-Kandiyohi County,KANDIYOHI,18.0
1951-Lac Qui Parle County,LAC QUI PARLE,18.0
1951-Le Sueur County,LE SUEUR,22.0
1951-Lincoln County,LINCOLN,11.0
1951-Lyon County,LYON,17.0
1951-Mahnomen County,MAHNOMEN,8.0
1951-Martin County,MARTIN,19.0
1951-Mcleod County,MCLEOD,20.0
1951-Meeker County,MEEKER,16.0
1951-Mille Lacs County,MILLE LACS,9.0
1951-Morrison County,MORRISON,12.0
1951-Murray County,MURRAY,15.0
1951-Nicollet County,NICOLLET,20.0
1951-Nobles County,NOBLES,17.0
1951-Norman County,NORMAN,13.0
1951-Otter Tail County,OTTER TAIL,10.0
1951-Pine County,PINE,9.0
1951-Pipestone County,PIPESTONE,13.0
1951-Pope County,POPE,15.0
1951-Ramsey County,RAMSEY,16.0
1951-Redwood County,REDWOOD,18.0
1951-Renville County,RENVILLE,19.0
1951-Rice County,RICE,17.0
1951-Rock County,ROCK,18.0
1951-Scott County,SCOTT,19.0
1951-Sherburne County,SHERBURNE,12.0
1951-Sibley County,SIBLEY,19.0
1951-Stearns County,STEARNS,14.0
1951-Steele County,STEELE,18.0
1951-Stevens County,STEVENS,16.0
1951-Swift County,SWIFT,16.0
1951-Todd County,TODD,13.0
1951-Traverse County,TRAVERSE,13.0
1951-Waseca County,WASECA,19.0
1951-Washington County,WASHINGTON,16.0
1951-Watonwan County,WATONWAN,18.0
1951-Wilkin County,WILKIN,14.0
1951-Wright County,WRIGHT,16.0
1951-Yellow Medicine County,YELLOW MEDICINE,18.0
1952-Aitkin County,AITKIN,14.0
1952-Anoka County,ANOKA,14.0
1952-Becker County,BECKER,11.0
1952-Benton County,BENTON,13.0
1952-Big Stone County,BIG STONE,11.0
1952-Blue Earth County,BLUE EARTH,24.0
1952-Brown County,BROWN,20.0
1952-Carver County,CARVER,24.0
1952-Chippewa County,CHIPPEWA,16.0
1952-Chisago County,CHISAGO,14.0
1952-Clay County,CLAY,10.0
1952-Cottonwood County,COTTONWOOD,20.0
1952-Crow Wing County,CROW WING,12.0
1952-Douglas County,DOUGLAS,14.0
1952-Faribault County,FARIBAULT,22.0
1952-Freeborn County,FREEBORN,21.0
1952-Grant County,GRANT,13.0
1952-Hennepin County,HENNEPIN,19.0
1952-Isanti County,ISANTI,13.0
1952-Jackson County,JACKSON,19.0
1952-Kanabec County,KANABEC,18.0
1952-Kandiyohi County,KANDIYOHI,17.0
1952-Lac Qui Parle County,LAC QUI PARLE,17.0
1952-Le Sueur County,LE SUEUR,24.0
1952-Lincoln County,LINCOLN,17.0
1952-Lyon County,LYON,16.0
1952-Mahnomen County,MAHNOMEN,10.0
1952-Marshall County,MARSHALL,10.0
1952-Martin County,MARTIN,23.0
1952-Mcleod County,MCLEOD,23.0
1952-Meeker County,MEEKER,20.0
1952-Mille Lacs County,MILLE LACS,11.0
1952-Morrison County,MORRISON,11.0
1952-Murray County,MURRAY,16.0
1952-Nicollet County,NICOLLET,24.0
1952-Nobles County,NOBLES,19.0
1952-Norman County,NORMAN,14.0
1952-Otter Tail County,OTTER TAIL,10.0
1952-Pine County,PINE,15.0
1952-Pipestone County,PIPESTONE,16.0
1952-Polk County,POLK,12.0
1952-Pope County,POPE,12.0
1952-Ramsey County,RAMSEY,16.0
1952-Redwood County,REDWOOD,19.0
1952-Renville County,RENVILLE,20.0
1952-Rice County,RICE,18.0
1952-Rock County,ROCK,18.0
1952-Scott County,SCOTT,17.0
1952-Sherburne County,SHERBURNE,13.0
1952-Sibley County,SIBLEY,19.0
1952-Stearns County,STEARNS,12.0
1952-Steele County,STEELE,21.0
1952-Stevens County,STEVENS,14.0
1952-Swift County,SWIFT,13.0
1952-Todd County,TODD,14.0
1952-Traverse County,TRAVERSE,10.0
1952-Wadena County,WADENA,14.0
1952-Waseca County,WASECA,23.0
1952-Washington County,WASHINGTON,17.0
1952-Watonwan County,WATONWAN,20.0
1952-Wilkin County,WILKIN,10.0
1952-Wright County,WRIGHT,21.0
1952-Yellow Medicine County,YELLOW MEDICINE,16.0
1953-Aitkin County,AITKIN,15.0
1953-Anoka County,ANOKA,12.0
1953-Becker County,BECKER,22.0
1953-Benton County,BENTON,18.0
1953-Big Stone County,BIG STONE,18.0
1953-Blue Earth County,BLUE EARTH,23.0
1953-Brown County,BROWN,21.0
1953-Carver County,CARVER,22.0
1953-Cass County,CASS,17.0
1953-Chippewa County,CHIPPEWA,20.0
1953-Chisago County,CHISAGO,17.0
1953-Clay County,CLAY,15.0
1953-Cottonwood County,COTTONWOOD,19.0
1953-Crow Wing County,CROW WING,19.1
1953-Douglas County,DOUGLAS,17.0
1953-Faribault County,FARIBAULT,23.0
1953-Freeborn County,FREEBORN,23.0
1953-Grant County,GRANT,16.0
1953-Hennepin County,HENNEPIN,20.0
1953-Hubbard County,HUBBARD,17.0
1953-Isanti County,ISANTI,16.0
1953-Jackson County,JACKSON,20.0
1953-Kanabec County,KANABEC,13.0
1953-Kandiyohi County,KANDIYOHI,19.0
1953-Lac Qui Parle County,LAC QUI PARLE,20.0
1953-Le Sueur County,LE SUEUR,24.0
1953-Lincoln County,LINCOLN,16.0
1953-Lyon County,LYON,19.0
1953-Mahnomen County,MAHNOMEN,13.0
1953-Marshall County,MARSHALL,14.0
1953-Martin County,MARTIN,22.0
1953-Mcleod County,MCLEOD,20.0
1953-Meeker County,MEEKER,20.0
1953-Mille Lacs County,MILLE LACS,13.0
1953-Morrison County,MORRISON,11.0
1953-Murray County,MURRAY,19.0
1953-Nicollet County,NICOLLET,24.0
1953-Nobles County,NOBLES,17.0
1953-Norman County,NORMAN,15.0
1953-Otter Tail County,OTTER TAIL,16.0
1953-Pine County,PINE,12.0
1953-Pipestone County,PIPESTONE,23.0
1953-Polk County,POLK,14.0
1953-Pope County,POPE,17.0
1953-Ramsey County,RAMSEY,15.0
1953-Redwood County,REDWOOD,20.0
1953-Renville County,RENVILLE,22.0
1953-Rice County,RICE,21.0
1953-Rock County,ROCK,20.0
1953-Scott County,SCOTT,20.0
1953-Sherburne County,SHERBURNE,12.0
1953-Sibley County,SIBLEY,22.0
1953-Stearns County,STEARNS,18.0
1953-Steele County,STEELE,23.0
1953-Stevens County,STEVENS,18.0
1953-Swift County,SWIFT,17.0
1953-Todd County,TODD,15.0
1953-Traverse County,TRAVERSE,16.0
1953-Waseca County,WASECA,23.0
1953-Washington County,WASHINGTON,23.0
1953-Watonwan County,WATONWAN,20.0
1953-Wilkin County,WILKIN,15.0
1953-Wright County,WRIGHT,18.0
1953-Yellow Medicine County,YELLOW MEDICINE,20.0
1954-Aitkin County,AITKIN,13.0
1954-Anoka County,ANOKA,16.0
