,county_name,capital_name,county_latitude,county_longitude,closest_station
0,Aitkin County,Aitkin,46.5714822,-93.3847595,KHZX0
1,Anoka County,Anoka,45.2710195,-93.2827625,9NRIJ
2,Becker County,Detroit Lakes,46.817181,-95.845325,KDTL0
3,Beltrami County,Bemidji,47.4785418,-94.8907869,72755
4,Benton County,Foley,45.663512,-93.9137277,72655
5,Big Stone County,Ortonville,45.304687,-96.444779,KVVV0
6,Blue Earth County,Mankato,44.1634663,-93.9993505,KMKT0
7,Brown County,New Ulm,44.3140261,-94.4614177,KULM0
8,Carlton County,Carlton,46.5799933,-92.7206334,KMZH0
9,Carver County,Chaska,44.7894072,-93.6021791,KFCM0
10,Cass County,Walker,47.101709,-94.585026,KY490
11,Chippewa County,Montevideo,44.942523,-95.723559,KMVE0
12,Chisago County,Center City,45.3938525,-92.8166024,KROS0
13,Clay County,Moorhead,46.8739081,-96.7538674,KJKJ0
14,Clearwater County,Bagley,47.521623,-95.398349,KFSE0
15,Cook County,Grand Marais,47.750467,-90.334675,KGNA0
16,Cottonwood County,Windom,43.8663464,-95.1169366,KMWM0
17,Crow Wing County,Brainerd,46.3580221,-94.2008288,KBRD0
18,Dakota County,Hastings,44.7426933,-92.8518697,KSGS0
19,Dodge County,Mantorville,44.0678403,-92.7551315,KTOB0
20,Douglas County,Alexandria,45.8835101,-95.3745015,KAXN0
21,Faribault County,Blue Earth,44.0109722,-94.0560643,KMKT0
22,Fillmore County,Preston,43.6702423,-92.0832157,KFKA0
23,Freeborn County,Albert Lea,43.6480127,-93.3682656,KAEL0
24,Goodhue County,Red Wing,44.5624676,-92.5338013,KRGK0
25,Grant County,Elbow Lake,45.994127,-95.976721,KY630
26,Hennepin County,Minneapolis,44.9772995,-93.2654692,KMIC0
27,Houston County,Caledonia,43.6350469,-91.496387,KONA0
28,Hubbard County,Park Rapids,46.9221813,-95.0586322,KPKD0
29,Isanti County,Cambridge,45.5727408,-93.2243921,KCBG0
30,Itasca County,Grand Rapids,47.237166,-93.530214,KGPZ0
31,Jackson County,Jackson,43.670011,-95.1500626,KMJQ0
32,Kanabec County,Mora,45.8769031,-93.2938352,KJMR0
33,Kandiyohi County,Willmar,45.1219492,-95.0435373,KBDH0
34,Kittson County,Hallock,48.7744263,-96.946447,KHCO0
35,Koochiching County,International Falls,48.601033,-93.4105904,72747
36,Lac qui Parle County,Madison,45.009685,-96.195877,KDXX0
37,Lake County,Two Harbors,47.0257139,-91.6730523,KTWM0
38,Lake of the Woods County,Baudette,48.7124408,-94.600171,KBDE0
39,Le Sueur County,Le Center,44.3894097,-93.7302337,KMKT0
40,Lincoln County,Ivanhoe,44.463229,-96.247372,KCNB0
41,Lyon County,Marshall,48.3605336,-96.381968,UYB6K
42,McLeod County,Glencoe,44.7691886,-94.1515671,KGYL0
43,Mahnomen County,Mahnomen,47.3313602,-95.8142911,KFSE0
44,Marshall County,Warren,48.196591,-96.7727048,KCKN0
45,Martin County,Fairmont,43.6521775,-94.4610832,KFRM0
46,Meeker County,Litchfield,45.1271847,-94.5280474,KLJF0
47,Mille Lacs County,Milaca,45.755799,-93.6544079,KPNM0
48,Morrison County,Little Falls,45.9763545,-94.3625024,KLXL0
49,Mower County,Austin,43.6680928,-92.9744896,KAUM0
50,Murray County,Slayton,43.987742,-95.755846,KTKC0
51,Nicollet County,St. Peter,44.3238384,-93.9585295,KMKT0
52,Nobles County,Worthington,43.6205056,-95.5956434,KOTG0
53,Norman County,Ada,47.299689,-96.5153463,KJKJ0
54,Olmsted County,Rochester,44.0234387,-92.4630182,72644
55,Otter Tail County,Fergus Falls,46.283015,-96.077558,KFFM0
56,Pennington County,Thief River Falls,48.1172301,-96.1770667,UYB6K
57,Pine County,Pine City,45.8260672,-92.9685423,KROS0
58,Pipestone County,Pipestone,44.0270012,-96.2566582,KPQN0
59,Polk County,Crookston,47.7739988,-96.6081167,KCKN0
60,Pope County,Glenwood,45.6502394,-95.3897582,KGHW0
61,Ramsey County,Saint Paul,44.9497487,-93.0931028,KSTP0
62,Red Lake County,Red Lake Falls,47.8822511,-96.2731977,UYB6K
63,Redwood County,Redwood Falls,44.5393721,-95.1164478,Z7ZOG
64,Renville County,Olivia,44.77635,-94.9897214,KOVL0
65,Rice County,Faribault,43.6647961,-93.9510501,KFRM0
66,Rock County,Luverne,43.6542342,-96.2127811,KLYV0
67,Roseau County,Roseau,48.7710371,-95.7697882,P6529
68,Saint Louis County,Duluth,46.7729322,-92.1251218,KDYT0
69,Scott County,Shakopee,44.7980186,-93.5268986,KFCM0
70,Sherburne County,Elk River,45.3038538,-93.5671825,KPNM0
71,Sibley County,Gaylord,44.5530201,-94.220531,KGYL0
72,Stearns County,St. Cloud,45.5616075,-94.1642004,72655
73,Steele County,Owatonna,44.0839937,-93.2261076,KOWA0
74,Stevens County,Morris,45.586072,-95.913941,KMOX0
75,Swift County,Benson,45.3149604,-95.6000349,KBBB0
76,Todd County,Long Prairie,45.9741126,-94.8652642,KD390
77,Traverse County,Wheaton,45.804405,-96.499233,KETH0
78,Wabasha County,Wabasha,44.2767596,-92.2018164,KRGK0
79,Wadena County,Wadena,46.5850936,-94.9606684,KSAZ0
80,Waseca County,Waseca,44.0172242,-93.5885717,KACQ0
81,Washington County,Stillwater,45.0564041,-92.8134982,KSTP0
82,Watonwan County,St. James,43.9824577,-94.6269181,KJYG0
83,Wilkin County,Breckenridge,46.265205,-96.581626,KFFM0
84,Winona County,Winona,43.9582272,-91.7807784,KONA0
85,Wright County,Buffalo,45.1719084,-93.8746941,KCFE0
86,Yellow Medicine County,Granite Falls,44.8099575,-95.5455752,KGDB0
