County Name, Station
Saint Louis County,72745
Saint Louis County,KDYT0
Saint Louis County,KCOQ0
Scott County,KFCM0
Scott County,KGYL0
Scott County,KLVN0
Sherburne County,KPNM0
Sherburne County,KCFE0
Sherburne County,KMGG0
Sherburne County,9NRIJ
Sherburne County,KCBG0
Sherburne County,72655
Sibley County,KGYL0
Sibley County,KULM0
Sibley County,KMKT0
Stearns County,72655
Stearns County,KMGG0
Stearns County,KPEX0
Stearns County,KD390
Steele County,KOWA0
Steele County,KACQ0
Steele County,KAEL0
Steele County,KAUM0
Steele County,KTOB0
Stevens County,KMOX0
Stevens County,KY630
Stevens County,KETH0
Stevens County,KVVV0
Stevens County,KAQP0
Stevens County,KBBB0
Stevens County,KGHW0
Stevens County,KAXN0
Swift County,KBBB0
Swift County,KGHW0
Swift County,KAQP0
Swift County,KMOX0
Swift County,KBDH0
Todd County,KRYM0
Todd County,KLXL0
Todd County,KD390
Todd County,KAXN0
Traverse County,KETH0
Traverse County,KFFM0
Traverse County,KY630
Traverse County,KMOX0
Traverse County,KVVV0
Wabasha County,KONA0
Wabasha County,KRGK0
Wabasha County,72644
Wabasha County,KTOB0
Wadena County,KPKD0
Wadena County,KPWC0
Wadena County,KADC0
Wadena County,KSAZ0
Waseca County,KACQ0
Waseca County,KMKT0
Waseca County,KOWA0
Waseca County,KAEL0
Washington County,KSTP0
Washington County,72658
Washington County,KSGS0
Watonwan County,KJYG0
Watonwan County,KULM0
Watonwan County,KMWM0
Watonwan County,KMJQ0
Watonwan County,KFRM0
Wilkin County,KFFM0
Wilkin County,KJKJ0
Wilkin County,KY630
Wilkin County,KETH0
Winona County,KONA0
Winona County,KFKA0
Wright County,KMGG0
Wright County,KCFE0
Wright County,KGYL0
Wright County,KLJF0
Wright County,KHCD0
Yellow Medicine County,KGDB0
Yellow Medicine County,KMVE0
Yellow Medicine County,KOVL0
Yellow Medicine County,KMML0
Yellow Medicine County,KCNB0
