County Name, Station
Marshall County,KCKN0
Marshall County,UYB6K
Martin County,KFRM0
Martin County,KMJQ0
Martin County,KJYG0
Martin County,KAEL0
Meeker County,KLJF0
Mille Lacs County,KPNM0
Mille Lacs County,KCBG0
Mille Lacs County,KJMR0
Mille Lacs County,72655
Mille Lacs County,KLXL0
Morrison County,KLXL0
Morrison County,KRYM0
Morrison County,KBRD0
Morrison County,KD390
Mower County,KAUM0
Mower County,KAEL0
Mower County,72644
Murray County,KTKC0
Murray County,KPQN0
Nicollet County,KMKT0
Nicollet County,KULM0
Nicollet County,KFBL0
Nobles County,KOTG0
Nobles County,KLYV0
Nobles County,KMJQ0
Norman County,KJKJ0
Norman County,KCKN0
Olmsted County,72644
Olmsted County,KTOB0
Olmsted County,KONA0
Otter Tail County,KFFM0
Otter Tail County,KY630
Otter Tail County,KDTL0
Pennington County,UYB6K
Pennington County,KCKN0
Pennington County,KFSE0
Pennington County,KHCO0
Pennington County,P6529
Pine County,KROS0
Pine County,KJMR0
Pipestone County,KPQN0
Pipestone County,KLYV0
Pipestone County,KTKC0
Polk County,KCKN0
Polk County,UYB6K
Pope County,KFSE0
Pope County,KAXN0
Pope County,KD390
Pope County,KBBB0
Ramsey County,KSTP0
Ramsey County,72658
Ramsey County,KSGS0
Red Lake County,KCKN0
Red Lake County,UYB6K
Redwood County,Z7ZOG
Redwood County,KOVL0
Redwood County,KGDB0
Redwood County,KMML0
Redwood County,KTKC0
Redwood County,KULM0
Renville County,KOVL0
Renville County,KBDH0
Renville County,KGDB0
Renville County,Z7ZOG
Renville County,KHCD0
Rice County,KFRM0
Rice County,KAEL0
Rice County,KJYG0
Rice County,KACQ0
Rock County,KLYV0
Rock County,KPQN0
Rock County,KOTG0
Roseau County,P6529
Roseau County,KHCO0
Roseau County,KRRT0
Roseau County,X9FED
