new_index,County,BU / ACRE
1950-Aitkin County,AITKIN,15.0
1950-Anoka County,ANOKA,28.0
1950-Becker County,BECKER,26.0
1950-Beltrami County,BELTRAMI,21.0
1950-Benton County,BENTON,21.0
1950-Big Stone County,BIG STONE,37.0
1950-Blue Earth County,BLUE EARTH,50.0
1950-Brown County,BROWN,46.0
1950-Carlton County,CARLTON,15.0
1950-Carver County,CARVER,50.0
1950-Cass County,CASS,18.0
1950-Chippewa County,CHIPPEWA,36.0
1950-Chisago County,CHISAGO,25.0
1950-Clay County,CLAY,28.0
1950-Clearwater County,CLEARWATER,22.0
1950-Cottonwood County,COTTONWOOD,44.0
1950-Crow Wing County,CROW WING,15.0
1950-Douglas County,DOUGLAS,32.0
1950-Faribault County,FARIBAULT,46.0
1950-Freeborn County,FREEBORN,46.0
1950-Grant County,GRANT,32.0
1950-Hennepin County,HENNEPIN,43.0
1950-Hubbard County,HUBBARD,18.0
1950-Isanti County,ISANTI,22.0
1950-Itasca County,ITASCA,20.0
1950-Jackson County,JACKSON,42.0
1950-Kanabec County,KANABEC,15.0
1950-Kandiyohi County,KANDIYOHI,40.0
1950-Kittson County,KITTSON,14.0
1950-Koochiching County,KOOCHICHING,20.0
1950-Lac Qui Parle County,LAC QUI PARLE,38.0
1950-Lake Of The Woods County,LAKE OF THE WOODS,20.0
1950-Le Sueur County,LE SUEUR,46.0
1950-Lincoln County,LINCOLN,32.0
1950-Lyon County,LYON,40.0
1950-Mahnomen County,MAHNOMEN,22.0
1950-Marshall County,MARSHALL,20.0
1950-Martin County,MARTIN,44.0
1950-Mcleod County,MCLEOD,45.0
1950-Meeker County,MEEKER,41.0
1950-Mille Lacs County,MILLE LACS,18.0
1950-Morrison County,MORRISON,15.0
1950-Murray County,MURRAY,41.0
1950-Nicollet County,NICOLLET,49.0
1950-Nobles County,NOBLES,38.0
1950-Norman County,NORMAN,25.0
1950-Otter Tail County,OTTER TAIL,30.0
1950-Pennington County,PENNINGTON,20.0
1950-Pine County,PINE,20.0
1950-Pipestone County,PIPESTONE,25.0
1950-Polk County,POLK,30.0
1950-Pope County,POPE,33.0
1950-Ramsey County,RAMSEY,30.0
1950-Red Lake County,RED LAKE,22.0
1950-Redwood County,REDWOOD,45.0
1950-Renville County,RENVILLE,38.0
1950-Rice County,RICE,50.0
1950-Rock County,ROCK,33.0
1950-Roseau County,ROSEAU,15.0
1950-Scott County,SCOTT,45.0
1950-Sherburne County,SHERBURNE,15.0
1950-Sibley County,SIBLEY,45.0
1950-St. Louis County,ST. LOUIS,20.0
1950-Stearns County,STEARNS,28.0
1950-Steele County,STEELE,49.0
1950-Stevens County,STEVENS,28.0
1950-Swift County,SWIFT,30.0
1950-Todd County,TODD,28.0
1950-Traverse County,TRAVERSE,30.0
1950-Wadena County,WADENA,15.0
1950-Waseca County,WASECA,53.0
1950-Washington County,WASHINGTON,40.0
1950-Watonwan County,WATONWAN,45.0
1950-Wilkin County,WILKIN,23.0
1950-Wright County,WRIGHT,45.0
1950-Yellow Medicine County,YELLOW MEDICINE,35.0
1951-Aitkin County,AITKIN,32.0
1951-Anoka County,ANOKA,40.0
1951-Becker County,BECKER,29.0
1951-Beltrami County,BELTRAMI,30.0
1951-Benton County,BENTON,30.0
1951-Big Stone County,BIG STONE,32.0
1951-Blue Earth County,BLUE EARTH,50.0
1951-Brown County,BROWN,47.0
1951-Carlton County,CARLTON,28.0
1951-Carver County,CARVER,55.0
1951-Cass County,CASS,28.0
1951-Chippewa County,CHIPPEWA,35.0
1951-Chisago County,CHISAGO,36.0
1951-Clay County,CLAY,31.0
1951-Clearwater County,CLEARWATER,29.0
1951-Cottonwood County,COTTONWOOD,39.0
1951-Crow Wing County,CROW WING,34.0
1951-Douglas County,DOUGLAS,33.0
1951-Faribault County,FARIBAULT,42.0
1951-Freeborn County,FREEBORN,48.0
1951-Grant County,GRANT,27.0
1951-Hennepin County,HENNEPIN,44.0
1951-Hubbard County,HUBBARD,25.0
1951-Isanti County,ISANTI,35.0
1951-Itasca County,ITASCA,28.0
1951-Jackson County,JACKSON,43.0
1951-Kanabec County,KANABEC,40.0
1951-Kandiyohi County,KANDIYOHI,37.0
1951-Kittson County,KITTSON,15.0
1951-Koochiching County,KOOCHICHING,20.0
1951-Lac Qui Parle County,LAC QUI PARLE,39.0
1951-Lake Of The Woods County,LAKE OF THE WOODS,20.0
1951-Le Sueur County,LE SUEUR,48.0
1951-Lincoln County,LINCOLN,30.0
1951-Lyon County,LYON,36.0
1951-Mahnomen County,MAHNOMEN,30.0
1951-Marshall County,MARSHALL,24.0
1951-Martin County,MARTIN,43.0
1951-Mcleod County,MCLEOD,46.0
1951-Meeker County,MEEKER,40.0
1951-Mille Lacs County,MILLE LACS,50.0
1951-Morrison County,MORRISON,40.0
1951-Murray County,MURRAY,27.0
1951-Nicollet County,NICOLLET,51.0
1951-Nobles County,NOBLES,34.0
1951-Norman County,NORMAN,28.0
1951-Otter Tail County,OTTER TAIL,35.0
1951-Pennington County,PENNINGTON,25.0
1951-Pine County,PINE,29.0
1951-Pipestone County,PIPESTONE,30.0
1951-Polk County,POLK,28.0
1951-Pope County,POPE,34.0
1951-Ramsey County,RAMSEY,34.0
1951-Red Lake County,RED LAKE,30.0
1951-Redwood County,REDWOOD,38.0
1951-Renville County,RENVILLE,36.0
1951-Rice County,RICE,50.0
1951-Rock County,ROCK,38.0
1951-Roseau County,ROSEAU,15.0
1951-Scott County,SCOTT,49.0
1951-Sherburne County,SHERBURNE,25.0
1951-Sibley County,SIBLEY,45.0
1951-St. Louis County,ST. LOUIS,29.0
1951-Stearns County,STEARNS,44.0
1951-Steele County,STEELE,47.0
1951-Stevens County,STEVENS,30.0
1951-Swift County,SWIFT,30.0
1951-Todd County,TODD,37.0
1951-Traverse County,TRAVERSE,27.0
1951-Wadena County,WADENA,28.0
1951-Waseca County,WASECA,48.0
1951-Washington County,WASHINGTON,46.0
1951-Watonwan County,WATONWAN,41.0
1951-Wilkin County,WILKIN,30.0
1951-Wright County,WRIGHT,45.0
1951-Yellow Medicine County,YELLOW MEDICINE,39.0
1952-Aitkin County,AITKIN,32.0
1952-Anoka County,ANOKA,46.0
1952-Becker County,BECKER,38.0
1952-Beltrami County,BELTRAMI,37.0
1952-Benton County,BENTON,50.0
1952-Big Stone County,BIG STONE,35.0
1952-Blue Earth County,BLUE EARTH,62.0
1952-Brown County,BROWN,54.0
1952-Carlton County,CARLTON,25.0
1952-Carver County,CARVER,64.0
1952-Cass County,CASS,37.0
1952-Chippewa County,CHIPPEWA,47.0
1952-Chisago County,CHISAGO,50.0
1952-Clay County,CLAY,38.0
1952-Clearwater County,CLEARWATER,37.0
1952-Cottonwood County,COTTONWOOD,51.0
1952-Crow Wing County,CROW WING,30.0
1952-Douglas County,DOUGLAS,46.0
1952-Faribault County,FARIBAULT,61.0
1952-Freeborn County,FREEBORN,59.0
1952-Grant County,GRANT,45.0
1952-Hennepin County,HENNEPIN,57.0
1952-Hubbard County,HUBBARD,37.0
1952-Isanti County,ISANTI,48.0
1952-Itasca County,ITASCA,37.0
1952-Jackson County,JACKSON,58.0
1952-Kanabec County,KANABEC,47.0
1952-Kandiyohi County,KANDIYOHI,48.0
1952-Kittson County,KITTSON,31.0
1952-Koochiching County,KOOCHICHING,25.0
1952-Lac Qui Parle County,LAC QUI PARLE,45.0
1952-Lake Of The Woods County,LAKE OF THE WOODS,36.0
1952-Le Sueur County,LE SUEUR,59.0
1952-Lincoln County,LINCOLN,38.0
1952-Lyon County,LYON,43.0
1952-Mahnomen County,MAHNOMEN,37.0
1952-Marshall County,MARSHALL,34.0
1952-Martin County,MARTIN,62.0
1952-Mcleod County,MCLEOD,60.0
1952-Meeker County,MEEKER,53.0
1952-Mille Lacs County,MILLE LACS,45.0
1952-Morrison County,MORRISON,44.0
1952-Murray County,MURRAY,41.0
1952-Nicollet County,NICOLLET,62.0
1952-Nobles County,NOBLES,49.0
1952-Norman County,NORMAN,32.0
1952-Otter Tail County,OTTER TAIL,43.0
1952-Pennington County,PENNINGTON,37.0
1952-Pine County,PINE,43.0
1952-Pipestone County,PIPESTONE,41.0
1952-Polk County,POLK,37.0
1952-Pope County,POPE,48.0
1952-Ramsey County,RAMSEY,50.0
1952-Red Lake County,RED LAKE,37.0
1952-Redwood County,REDWOOD,48.0
1952-Renville County,RENVILLE,51.0
1952-Rice County,RICE,57.0
1952-Rock County,ROCK,45.0
1952-Roseau County,ROSEAU,34.0
1952-Scott County,SCOTT,60.0
1952-Sherburne County,SHERBURNE,38.0
1952-Sibley County,SIBLEY,54.0
