index,County,"YIELD, MEASURED IN BU / ACRE"
1950-AITKIN,AITKIN,27.0
1950-ANOKA,ANOKA,28.0
1950-BECKER,BECKER,34.0
1950-BELTRAMI,BELTRAMI,36.0
1950-BENTON,BENTON,20.0
1950-BIG STONE,BIG STONE,29.0
1950-BLUE EARTH,BLUE EARTH,50.0
1950-BROWN,BROWN,48.0
1950-CARLTON,CARLTON,33.0
1950-CARVER,CARVER,54.0
1950-CASS,CASS,27.0
1950-CHIPPEWA,CHIPPEWA,31.0
1950-CHISAGO,CHISAGO,29.0
1950-CLAY,CLAY,33.0
1950-CLEARWATER,CLEARWATER,39.0
1950-COTTONWOOD,COTTONWOOD,43.0
1950-CROW WING,CROW WING,24.0
1950-DOUGLAS,DOUGLAS,30.0
1950-FARIBAULT,FARIBAULT,48.0
1950-FREEBORN,FREEBORN,48.0
1950-GRANT,GRANT,34.0
1950-HENNEPIN,HENNEPIN,48.0
1950-HUBBARD,HUBBARD,29.0
1950-ISANTI,ISANTI,21.0
1950-ITASCA,ITASCA,35.0
1950-JACKSON,JACKSON,46.0
1950-KANABEC,KANABEC,27.0
1950-KANDIYOHI,KANDIYOHI,38.0
1950-KITTSON,KITTSON,37.0
1950-KOOCHICHING,KOOCHICHING,28.0
1950-LAC QUI PARLE,LAC QUI PARLE,32.0
1950-LAKE,LAKE,41.1
1950-LAKE OF THE WOODS,LAKE OF THE WOODS,31.0
1950-LE SUEUR,LE SUEUR,50.0
1950-LINCOLN,LINCOLN,36.0
1950-LYON,LYON,39.0
1950-MAHNOMEN,MAHNOMEN,34.0
1950-MARSHALL,MARSHALL,31.0
1950-MARTIN,MARTIN,49.0
1950-MCLEOD,MCLEOD,44.0
1950-MEEKER,MEEKER,38.0
1950-MILLE LACS,MILLE LACS,30.0
1950-MORRISON,MORRISON,17.0
1950-MURRAY,MURRAY,45.0
1950-NICOLLET,NICOLLET,46.0
1950-NOBLES,NOBLES,41.0
1950-NORMAN,NORMAN,33.0
1950-OTTER TAIL,OTTER TAIL,27.0
1950-PENNINGTON,PENNINGTON,31.0
1950-PINE,PINE,28.0
1950-PIPESTONE,PIPESTONE,33.0
1950-POLK,POLK,33.0
1950-POPE,POPE,26.0
1950-RAMSEY,RAMSEY,28.0
1950-RED LAKE,RED LAKE,29.0
1950-REDWOOD,REDWOOD,41.0
1950-RENVILLE,RENVILLE,40.0
1950-RICE,RICE,43.0
1950-ROCK,ROCK,36.0
1950-ROSEAU,ROSEAU,30.0
1950-SCOTT,SCOTT,50.0
1950-SHERBURNE,SHERBURNE,14.0
1950-SIBLEY,SIBLEY,48.0
1950-ST. LOUIS,ST. LOUIS,37.0
1950-STEARNS,STEARNS,33.0
1950-STEELE,STEELE,41.0
1950-STEVENS,STEVENS,29.0
1950-SWIFT,SWIFT,33.0
1950-TODD,TODD,29.0
1950-TRAVERSE,TRAVERSE,27.0
1950-WADENA,WADENA,17.0
1950-WASECA,WASECA,50.0
1950-WASHINGTON,WASHINGTON,31.0
1950-WATONWAN,WATONWAN,46.0
1950-WILKIN,WILKIN,31.0
1950-WRIGHT,WRIGHT,44.0
1950-YELLOW MEDICINE,YELLOW MEDICINE,34.0
1951-AITKIN,AITKIN,39.0
1951-ANOKA,ANOKA,44.0
1951-BECKER,BECKER,40.0
1951-BELTRAMI,BELTRAMI,34.0
1951-BENTON,BENTON,42.0
1951-BIG STONE,BIG STONE,40.0
1951-BLUE EARTH,BLUE EARTH,48.0
1951-BROWN,BROWN,47.0
1951-CARLTON,CARLTON,42.0
1951-CARVER,CARVER,60.0
1951-CASS,CASS,34.0
1951-CHIPPEWA,CHIPPEWA,39.0
1951-CHISAGO,CHISAGO,55.0
1951-CLAY,CLAY,35.0
1951-CLEARWATER,CLEARWATER,31.0
1951-COOK,COOK,35.0
1951-COTTONWOOD,COTTONWOOD,49.0
1951-CROW WING,CROW WING,45.0
1951-DOUGLAS,DOUGLAS,42.0
1951-FARIBAULT,FARIBAULT,39.0
1951-FREEBORN,FREEBORN,46.0
1951-GRANT,GRANT,43.0
1951-HENNEPIN,HENNEPIN,45.0
1951-HUBBARD,HUBBARD,33.0
1951-ISANTI,ISANTI,50.0
1951-ITASCA,ITASCA,36.0
1951-JACKSON,JACKSON,43.0
1951-KANABEC,KANABEC,50.0
1951-KANDIYOHI,KANDIYOHI,41.0
