new_index,Year,County,BU / ACRE,county_small
1950-Aitkin County,1950,AITKIN,15.0,Aitkin County
1950-Anoka County,1950,ANOKA,28.0,Anoka County
1950-Becker County,1950,BECKER,26.0,Becker County
1950-Beltrami County,1950,BELTRAMI,21.0,Beltrami County
1950-Benton County,1950,BENTON,21.0,Benton County
1950-Big Stone County,1950,BIG STONE,37.0,Big Stone County
1950-Blue Earth County,1950,BLUE EARTH,50.0,Blue Earth County
1950-Brown County,1950,BROWN,46.0,Brown County
1950-Carlton County,1950,CARLTON,15.0,Carlton County
1950-Carver County,1950,CARVER,50.0,Carver County
1950-Cass County,1950,CASS,18.0,Cass County
1950-Chippewa County,1950,CHIPPEWA,36.0,Chippewa County
1950-Chisago County,1950,CHISAGO,25.0,Chisago County
1950-Clay County,1950,CLAY,28.0,Clay County
1950-Clearwater County,1950,CLEARWATER,22.0,Clearwater County
1950-Cottonwood County,1950,COTTONWOOD,44.0,Cottonwood County
1950-Crow Wing County,1950,CROW WING,15.0,Crow Wing County
1950-Douglas County,1950,DOUGLAS,32.0,Douglas County
1950-Faribault County,1950,FARIBAULT,46.0,Faribault County
1950-Freeborn County,1950,FREEBORN,46.0,Freeborn County
1950-Grant County,1950,GRANT,32.0,Grant County
1950-Hennepin County,1950,HENNEPIN,43.0,Hennepin County
1950-Hubbard County,1950,HUBBARD,18.0,Hubbard County
1950-Isanti County,1950,ISANTI,22.0,Isanti County
1950-Itasca County,1950,ITASCA,20.0,Itasca County
1950-Jackson County,1950,JACKSON,42.0,Jackson County
1950-Kanabec County,1950,KANABEC,15.0,Kanabec County
1950-Kandiyohi County,1950,KANDIYOHI,40.0,Kandiyohi County
1950-Kittson County,1950,KITTSON,14.0,Kittson County
1950-Koochiching County,1950,KOOCHICHING,20.0,Koochiching County
1950-Lac Qui Parle County,1950,LAC QUI PARLE,38.0,Lac Qui Parle County
1950-Lake Of The Woods County,1950,LAKE OF THE WOODS,20.0,Lake Of The Woods County
1950-Le Sueur County,1950,LE SUEUR,46.0,Le Sueur County
1950-Lincoln County,1950,LINCOLN,32.0,Lincoln County
1950-Lyon County,1950,LYON,40.0,Lyon County
1950-Mahnomen County,1950,MAHNOMEN,22.0,Mahnomen County
1950-Marshall County,1950,MARSHALL,20.0,Marshall County
1950-Martin County,1950,MARTIN,44.0,Martin County
1950-Mcleod County,1950,MCLEOD,45.0,Mcleod County
1950-Meeker County,1950,MEEKER,41.0,Meeker County
1950-Mille Lacs County,1950,MILLE LACS,18.0,Mille Lacs County
1950-Morrison County,1950,MORRISON,15.0,Morrison County
1950-Murray County,1950,MURRAY,41.0,Murray County
1950-Nicollet County,1950,NICOLLET,49.0,Nicollet County
1950-Nobles County,1950,NOBLES,38.0,Nobles County
1950-Norman County,1950,NORMAN,25.0,Norman County
1950-Otter Tail County,1950,OTTER TAIL,30.0,Otter Tail County
1950-Pennington County,1950,PENNINGTON,20.0,Pennington County
1950-Pine County,1950,PINE,20.0,Pine County
1950-Pipestone County,1950,PIPESTONE,25.0,Pipestone County
1950-Polk County,1950,POLK,30.0,Polk County
1950-Pope County,1950,POPE,33.0,Pope County
1950-Ramsey County,1950,RAMSEY,30.0,Ramsey County
1950-Red Lake County,1950,RED LAKE,22.0,Red Lake County
1950-Redwood County,1950,REDWOOD,45.0,Redwood County
1950-Renville County,1950,RENVILLE,38.0,Renville County
1950-Rice County,1950,RICE,50.0,Rice County
1950-Rock County,1950,ROCK,33.0,Rock County
1950-Roseau County,1950,ROSEAU,15.0,Roseau County
1950-Scott County,1950,SCOTT,45.0,Scott County
1950-Sherburne County,1950,SHERBURNE,15.0,Sherburne County
1950-Sibley County,1950,SIBLEY,45.0,Sibley County
1950-St. Louis County,1950,ST. LOUIS,20.0,St. Louis County
1950-Stearns County,1950,STEARNS,28.0,Stearns County
1950-Steele County,1950,STEELE,49.0,Steele County
1950-Stevens County,1950,STEVENS,28.0,Stevens County
1950-Swift County,1950,SWIFT,30.0,Swift County
1950-Todd County,1950,TODD,28.0,Todd County
1950-Traverse County,1950,TRAVERSE,30.0,Traverse County
1950-Wadena County,1950,WADENA,15.0,Wadena County
1950-Waseca County,1950,WASECA,53.0,Waseca County
1950-Washington County,1950,WASHINGTON,40.0,Washington County
1950-Watonwan County,1950,WATONWAN,45.0,Watonwan County
1950-Wilkin County,1950,WILKIN,23.0,Wilkin County
1950-Wright County,1950,WRIGHT,45.0,Wright County
1950-Yellow Medicine County,1950,YELLOW MEDICINE,35.0,Yellow Medicine County
1951-Aitkin County,1951,AITKIN,32.0,Aitkin County
1951-Anoka County,1951,ANOKA,40.0,Anoka County
1951-Becker County,1951,BECKER,29.0,Becker County
1951-Beltrami County,1951,BELTRAMI,30.0,Beltrami County
1951-Benton County,1951,BENTON,30.0,Benton County
1951-Big Stone County,1951,BIG STONE,32.0,Big Stone County
1951-Blue Earth County,1951,BLUE EARTH,50.0,Blue Earth County
1951-Brown County,1951,BROWN,47.0,Brown County
1951-Carlton County,1951,CARLTON,28.0,Carlton County
1951-Carver County,1951,CARVER,55.0,Carver County
1951-Cass County,1951,CASS,28.0,Cass County
1951-Chippewa County,1951,CHIPPEWA,35.0,Chippewa County
1951-Chisago County,1951,CHISAGO,36.0,Chisago County
1951-Clay County,1951,CLAY,31.0,Clay County
1951-Clearwater County,1951,CLEARWATER,29.0,Clearwater County
1951-Cottonwood County,1951,COTTONWOOD,39.0,Cottonwood County
1951-Crow Wing County,1951,CROW WING,34.0,Crow Wing County
1951-Douglas County,1951,DOUGLAS,33.0,Douglas County
1951-Faribault County,1951,FARIBAULT,42.0,Faribault County
1951-Freeborn County,1951,FREEBORN,48.0,Freeborn County
1951-Grant County,1951,GRANT,27.0,Grant County
1951-Hennepin County,1951,HENNEPIN,44.0,Hennepin County
1951-Hubbard County,1951,HUBBARD,25.0,Hubbard County
1951-Isanti County,1951,ISANTI,35.0,Isanti County
1951-Itasca County,1951,ITASCA,28.0,Itasca County
1951-Jackson County,1951,JACKSON,43.0,Jackson County
1951-Kanabec County,1951,KANABEC,40.0,Kanabec County
1951-Kandiyohi County,1951,KANDIYOHI,37.0,Kandiyohi County
1951-Kittson County,1951,KITTSON,15.0,Kittson County
1951-Koochiching County,1951,KOOCHICHING,20.0,Koochiching County
1951-Lac Qui Parle County,1951,LAC QUI PARLE,39.0,Lac Qui Parle County
1951-Lake Of The Woods County,1951,LAKE OF THE WOODS,20.0,Lake Of The Woods County
1951-Le Sueur County,1951,LE SUEUR,48.0,Le Sueur County
1951-Lincoln County,1951,LINCOLN,30.0,Lincoln County
1951-Lyon County,1951,LYON,36.0,Lyon County
1951-Mahnomen County,1951,MAHNOMEN,30.0,Mahnomen County
1951-Marshall County,1951,MARSHALL,24.0,Marshall County
1951-Martin County,1951,MARTIN,43.0,Martin County
1951-Mcleod County,1951,MCLEOD,46.0,Mcleod County
